date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:54	70/70	---M-Z	200	added ('OK')	text/plain	date:Sat,%2002%20Dec%202023%2012:14:52%20GMT	https://thietbitienphat.vn/robots.txt		(from )
19:14:55	95470/95470	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2012:14:53%20GMT	https://thietbitienphat.vn/	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/index.html	(from )
19:14:55	117309/117309	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Aug%202016%2002:41:00%20GMT	https://thietbitienphat.vn/wp-content/themes/thientrieu/css/bootstrap.min.css	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/themes/thientrieu/css/bootstrap.min.css	(from https://thietbitienphat.vn/)
19:14:55	29062/29062	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2014:56:03%20GMT	https://thietbitienphat.vn/wp-content/themes/thientrieu/font-awesome/css/font-awesome.min.css	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/themes/thientrieu/font-awesome/css/font-awesome.min.css	(from https://thietbitienphat.vn/)
19:14:55	1833/1833	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Aug%202016%2002:41:00%20GMT	https://thietbitienphat.vn/wp-content/themes/thientrieu/css/slick.css	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/themes/thientrieu/css/slick.css	(from https://thietbitienphat.vn/)
19:14:55	158732/158732	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2014:57:42%20GMT	https://thietbitienphat.vn/wp-content/themes/thientrieu/css/common.css	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/themes/thientrieu/css/common.css	(from https://thietbitienphat.vn/)
19:14:56	4026/4026	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202016%2016:43:32%20GMT	https://thietbitienphat.vn/wp-content/themes/thientrieu/css/format.css	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/themes/thientrieu/css/format.css	(from https://thietbitienphat.vn/)
19:14:56	693/693	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2014:05:26%20GMT	https://thietbitienphat.vn/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=4.6	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/gtranslate/gtranslate-style24167b.css	(from https://thietbitienphat.vn/)
19:14:56	1147/1147	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202016%2009:54:48%20GMT	https://thietbitienphat.vn/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.5	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/contact-form-7/includes/css/styles11b8.css	(from https://thietbitienphat.vn/)
19:14:56	14668/14668	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2009:35:58%20GMT	http://thietbitienphat.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=2.6.4	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-layout72e6.css	(from https://thietbitienphat.vn/)
19:14:57	6881/6881	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2009:35:58%20GMT	http://thietbitienphat.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=2.6.4	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen72e6.css	(from https://thietbitienphat.vn/)
19:14:57	53873/53873	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2009:35:58%20GMT	http://thietbitienphat.vn/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=2.6.4	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/woocommerce/assets/css/woocommerce72e6.css	(from https://thietbitienphat.vn/)
19:14:57	7158/7158	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202016%2017:00:00%20GMT	https://thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/css/wprmenu.css?ver=4.6	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/css/wprmenu167b.css	(from https://thietbitienphat.vn/)
19:14:57	15835/15835	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2014:04:21%20GMT	http://thietbitienphat.vn/wp-content/uploads/pum/pum-site-styles.css?generated=1579010661&ver=1.8.14	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/uploads/pum/pum-site-styles95f3.css	(from https://thietbitienphat.vn/)
19:14:57	97184/97184	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2007%20Sep%202016%2009:56:10%20GMT	https://thietbitienphat.vn/wp-includes/js/jquery/jquery.js?ver=1.12.4	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-includes/js/jquery/jqueryb8ff.js	(from https://thietbitienphat.vn/)
19:14:58	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2007%20Sep%202016%2009:56:10%20GMT	https://thietbitienphat.vn/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://thietbitienphat.vn/)
19:14:58	8592/8592	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2020%20Jan%202016%2017:00:00%20GMT	https://thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/js/jquery.transit.min.js?ver=4.6	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/js/jquery.transit.min167b.js	(from https://thietbitienphat.vn/)
19:14:58	9878/9878	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2020%20Jan%202016%2017:00:00%20GMT	https://thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/js/jquery.sidr.js?ver=4.6	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/js/jquery.sidr167b.js	(from https://thietbitienphat.vn/)
19:14:58	6202/6202	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2020%20Jan%202016%2017:00:00%20GMT	https://thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/js/wprmenu.js?ver=4.6	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/plugins/wp-responsive-menu/js/wprmenu167b.js	(from https://thietbitienphat.vn/)
19:14:59	10369/10369	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2002%20Dec%202023%2012:14:57%20GMT	https://thietbitienphat.vn/xmlrpc.php?rsd	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/xmlrpc0db0.php	(from https://thietbitienphat.vn/)
19:14:59	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2012:49:12%20GMT	https://thietbitienphat.vn/wp-includes/wlwmanifest.xml	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-includes/wlwmanifest.xml	(from https://thietbitienphat.vn/)
19:14:59	610/610	---M--	404	error ('Not%20Found')	text/html	etag:%225c6fd09e-262%22	http://shopdemo.mrken.asia/wp-content/plugins/gtranslate/flags/24/en.png	E:/Works/CloneDPV2/ThietBi/shopdemo.mrken.asia/wp-content/plugins/gtranslate/flags/24/en.13.delayed	(from https://thietbitienphat.vn/)
19:14:59	69856/69856	---MCZ	200	added ('OK')	application/json	date:Sat,%2002%20Dec%202023%2012:14:58%20GMT	https://thietbitienphat.vn/wp-json/	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-json/index.html	(from https://thietbitienphat.vn/)
19:15:01	610/610	---M--	404	error ('Not%20Found')	text/html	etag:%225c6fd09e-262%22	http://shopdemo.mrken.asia/wp-content/plugins/gtranslate/flags/24/vi.png	E:/Works/CloneDPV2/ThietBi/shopdemo.mrken.asia/wp-content/plugins/gtranslate/flags/24/vi.14.delayed	(from https://thietbitienphat.vn/)
19:15:01	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sat,%2002%20Dec%202023%2012:15:02%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	E:/Works/CloneDPV2/ThietBi/translate.google.com/translate_a/element.157876.delayed	(from https://thietbitienphat.vn/)
19:15:02	92005/92005	---MC-	200	added ('OK')	text/javascript	date:Sat,%2002%20Dec%202023%2012:15:02%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	E:/Works/CloneDPV2/ThietBi/translate.google.com/translate_a/element7876.js	(from https://thietbitienphat.vn/)
19:15:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Dec%202023%2012:15:01%20GMT	https://thietbitienphat.vn/gioi-thieu	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/gioi-thieu	(from https://thietbitienphat.vn/)
19:15:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Dec%202023%2012:15:01%20GMT	https://thietbitienphat.vn/tai-khoan	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/tai-khoan	(from https://thietbitienphat.vn/)
19:15:03	49204/49204	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2012:15:02%20GMT	https://thietbitienphat.vn/gioi-thieu/	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/gioi-thieu/index.html	(from https://thietbitienphat.vn/)
19:15:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Dec%202023%2012:15:02%20GMT	https://thietbitienphat.vn/gio-hang	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/gio-hang.19.delayed	(from https://thietbitienphat.vn/)
19:15:04	44217/44217	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2012:15:02%20GMT	https://thietbitienphat.vn/tai-khoan/	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/tai-khoan/index.html	(from https://thietbitienphat.vn/)
19:15:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Dec%202023%2012:15:03%20GMT	https://thietbitienphat.vn/lien-he	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/lien-he	(from https://thietbitienphat.vn/)
19:15:04	517995/517995	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20May%202020%2016:37:59%20GMT	https://thietbitienphat.vn/wp-content/uploads/2020/05/banernew.jpg	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/uploads/2020/05/banernew.jpg	(from https://thietbitienphat.vn/)
19:15:04	225592/225592	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20May%202020%2016:48:02%20GMT	https://thietbitienphat.vn/wp-content/uploads/2020/05/SLIDE-4.jpg	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/uploads/2020/05/SLIDE-4.jpg	(from https://thietbitienphat.vn/)
19:15:04	165877/165877	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20May%202020%2016:47:17%20GMT	https://thietbitienphat.vn/wp-content/uploads/2020/05/SLIDE-3.jpg	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/wp-content/uploads/2020/05/SLIDE-3.jpg	(from https://thietbitienphat.vn/)
19:15:05	79400/79400	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2012:15:03%20GMT	https://thietbitienphat.vn/gio-hang/	E:/Works/CloneDPV2/ThietBi/thietbitienphat.vn/gio-hang/index.html	(from https://thietbitienphat.vn/)
